"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:44:43.576, 31.03.2016","13,2","0,0","402.128.896","247.135.080","122.068.992","113.204.648","20.171","0","169","27"
"16:44:44.591, 31.03.2016","8,5","1,0","401.080.320","153.649.976","122.068.992","113.294.056","20.171","0","169","27"
"16:44:45.607, 31.03.2016","13,6","0,0","401.080.320","174.910.784","122.068.992","113.294.056","20.171","0","166","25"
"16:44:46.623, 31.03.2016","3,9","0,0","401.080.320","194.605.808","122.068.992","113.294.056","20.171","0","166","25"
"16:44:47.638, 31.03.2016","9,1","0,0","401.080.320","220.351.752","122.068.992","113.294.056","20.172","0","166","25"
"16:44:48.654, 31.03.2016","5,4","0,0","401.080.320","234.610.384","122.068.992","113.294.056","20.172","0","166","25"
"16:44:49.670, 31.03.2016","17,5","1,0","402.128.896","135.721.952","122.331.136","113.313.536","20.172","0","166","25"
"16:44:50.685, 31.03.2016","8,9","0,0","402.128.896","157.695.552","122.331.136","113.313.536","20.172","0","166","25"
"16:44:51.701, 31.03.2016","2,5","0,0","402.128.896","171.220.480","122.331.136","113.313.536","20.172","0","166","25"
"16:44:52.716, 31.03.2016","8,2","0,0","402.128.896","190.951.200","122.331.136","113.313.536","20.172","0","166","25"
"16:44:53.732, 31.03.2016","4,6","0,0","402.128.896","206.470.704","122.331.136","113.313.536","20.172","0","166","25"
"16:44:54.748, 31.03.2016","3,5","0,0","402.128.896","216.725.096","122.331.136","113.313.536","20.172","0","166","25"
"16:44:55.763, 31.03.2016","3,6","0,0","402.128.896","235.278.656","122.331.136","113.313.536","20.172","0","166","25"
"16:44:56.779, 31.03.2016","4,2","0,0","402.128.896","245.111.760","122.331.136","113.313.536","20.172","0","166","25"
"16:44:57.795, 31.03.2016","20,7","1,1","400.556.032","139.585.440","122.331.136","113.327.696","20.172","0","166","25"
"16:44:58.810, 31.03.2016","8,2","0,0","400.556.032","155.181.984","122.331.136","113.327.696","20.172","0","166","25"
"16:44:59.826, 31.03.2016","4,7","0,0","400.556.032","168.663.832","122.331.136","113.327.696","20.172","0","166","25"
"16:45:00.842, 31.03.2016","5,8","0,0","400.556.032","178.497.752","122.331.136","113.327.696","20.172","0","166","25"
"16:45:01.857, 31.03.2016","1,5","0,0","400.556.032","189.036.872","122.331.136","113.327.696","20.172","0","166","25"
"16:45:02.857, 31.03.2016","7,0","0,0","400.556.032","198.511.728","122.331.136","113.327.696","20.172","0","166","25"
